"","undernourishment","child_wasting","child_stunting","child_mortality"
"Afghanistan",37.25,27,62.2857142857143,19.4285714285714
"Albania",7.75,5.33333333333333,16.1428571428571,2.57142857142857
"Algeria",4.875,16.6666666666667,21.8571428571429,6.85714285714286
"Angola",31.25,16.3333333333333,53.7142857142857,23.1428571428571
"Argentina",5.75,5,10.4285714285714,2.85714285714286
"Armenia",5.375,15,13.4285714285714,3.71428571428571
"Azerbaijan",3.125,12,16.1428571428571,6.57142857142857
"Bahrain",NA,6.66666666666667,3.28571428571429,2
"Bangladesh",18.375,48,51.7142857142857,9.14285714285714
"Belarus",3.125,5.66666666666667,4,1.14285714285714
"Benin",12.625,16.6666666666667,46,28
"Bhutan",NA,14.6666666666667,37.8571428571429,8.85714285714286
"Bolivia",21.375,6.66666666666667,23,10
"Bosnia & Herzegovina",3.125,9.33333333333333,12.1428571428571,1.71428571428571
"Botswana",33,19,34.7142857142857,10.8571428571429
"Brazil",3.125,7,11.4285714285714,4.28571428571429
"Bulgaria",4.5,8.33333333333333,7.57142857142857,2.28571428571429
"Burkina Faso",25,28.6666666666667,30.1428571428571,23.1428571428571
"Burundi",NA,17,79.8571428571429,17.4285714285714
"Cambodia",20.5,32.6666666666667,46.2857142857143,8.28571428571428
"Cameroon",12.375,17.3333333333333,45.2857142857143,24
"Central African Republic",74.5,35.3333333333333,67.7142857142857,34.8571428571429
"Chad",46.875,44.3333333333333,56.8571428571428,35.1428571428571
"Chile",3.375,1,2.57142857142857,2
"China",10.625,5.33333333333333,7.42857142857143,2.57142857142857
"Colombia",6,3.33333333333333,16.5714285714286,4.28571428571429
"Comoros",NA,30.6666666666667,57,19.7142857142857
"Congo, Dem. Rep.",NA,27,61,26
"Congo, Rep.",50.375,27.3333333333333,30.2857142857143,13.7142857142857
"Costa Rica",6,4.33333333333333,6.85714285714286,2.57142857142857
"C̫te d'Ivoire",23.75,20.3333333333333,30.8571428571429,25.4285714285714
"Croatia",3.125,3.66666666666667,1.28571428571429,1.42857142857143
"Cuba",3.125,6.66666666666667,6.71428571428571,1.42857142857143
"Djibouti",23.625,61.3333333333333,41.2857142857143,17.7142857142857
"Dominican Republic",11.875,5,9.14285714285714,8.57142857142857
"Ecuador",9.875,5.33333333333333,34.1428571428571,4.28571428571429
"Egypt",5.625,31.6666666666667,31.8571428571429,6.28571428571429
"El Salvador",11.25,7,19.4285714285714,4.28571428571429
"Equatorial Guinea",NA,12.3333333333333,42.1428571428571,25.7142857142857
"Eritrea",NA,NA,NA,12.2857142857143
"Estonia",3.625,8,4.85714285714286,0.857142857142857
"Eswatini",25.75,6.66666666666667,36.4285714285714,15.4285714285714
"Ethiopia",25.75,33.3333333333333,54.8571428571429,16.8571428571429
"Fiji",4.625,23.6666666666667,6.28571428571429,7.14285714285714
"Gabon",13.125,12,28.8571428571429,13.7142857142857
"Gambia",12.75,31.3333333333333,37.1428571428571,18.2857142857143
"Georgia",9.875,14.3333333333333,15,3.14285714285714
"Ghana",6.875,15.6666666666667,26.8571428571429,14
"Guatemala",19,2.66666666666667,66.7142857142857,8
"Guinea",20.625,30.6666666666667,43.2857142857143,24.5714285714286
"Guinea-Bissau",35,20,39.4285714285714,24
"Guyana",10.125,21.3333333333333,16.1428571428571,8.85714285714286
"Haiti",61.625,12.3333333333333,31.2857142857143,20.5714285714286
"Honduras",16.125,5,30.1428571428571,5.14285714285714
"India",18.125,69.3333333333333,54.1428571428571,11.1428571428571
"Indonesia",10.375,39,46.7142857142857,7.14285714285714
"Iran",6.125,16.3333333333333,10.2857142857143,4.28571428571429
"Iraq",36.25,8.33333333333333,14.1428571428571,8.57142857142857
"Jamaica",10,12,8.57142857142857,4.28571428571429
"Jordan",15.25,8,14.7142857142857,4.85714285714286
"Kazakhstan",3.125,10.3333333333333,11.4285714285714,2.85714285714286
"Kenya",36.75,14,37.4285714285714,13.1428571428571
"Kuwait",3.5,10.3333333333333,7,2.28571428571429
"Kyrgyz Republic",8.875,6.66666666666667,16.8571428571429,5.71428571428571
"Lao PDR",20.625,30,47.1428571428571,18
"Latvia",3.125,8.66666666666667,5.71428571428571,1.14285714285714
"Lebanon",13.75,15.6666666666667,21.8571428571429,2.28571428571429
"Lesotho",16.375,9.33333333333333,47.7142857142857,24.5714285714286
"Liberia",46.5,18,55.7142857142857,21.4285714285714
"Libya",NA,26.6666666666667,32,3.42857142857143
"Lithuania",3.125,9,7.42857142857143,1.14285714285714
"Madagascar",55.5,34.3333333333333,78.2857142857143,12.5714285714286
"Malawi",21.875,9.33333333333333,53.4285714285714,15.7142857142857
"Malaysia",3.125,38.3333333333333,29.5714285714286,2.28571428571429
"Mali",7.875,30,38.4285714285714,30.2857142857143
"Mauritania",13,49.3333333333333,39.8571428571429,22.5714285714286
"Mauritius",8.125,24.3333333333333,9.57142857142857,3.71428571428571
"Mexico",4.5,6.66666666666667,14.2857142857143,3.71428571428571
"Moldova",NA,9.66666666666667,8.85714285714286,4.57142857142857
"Mongolia",16.75,4.33333333333333,10.4285714285714,4.85714285714286
"Montenegro",3.125,10.3333333333333,10.1428571428571,1.14285714285714
"Morocco",4.25,11.3333333333333,23.7142857142857,6.57142857142857
"Mozambique",34.875,12.3333333333333,49.2857142857143,20.5714285714286
"Myanmar",13.25,22,42,14
"Namibia",34.125,21.6666666666667,34.1428571428571,12.5714285714286
"Nepal",10.875,32,51.4285714285714,9.71428571428571
"Nicaragua",21.25,4,23.5714285714286,4.85714285714286
"Niger",20.625,33.6666666666667,58,24.2857142857143
"Nigeria",16.75,23.6666666666667,52.8571428571429,28.5714285714286
"North Korea",59.75,8.33333333333333,27.2857142857143,5.42857142857143
"North Macedonia",4,8.33333333333333,9.42857142857143,4
"Oman",8.5,25,20.1428571428571,3.14285714285714
"Pakistan",25.375,23.6666666666667,53.7142857142857,21.4285714285714
"Panama",12.5,3.33333333333333,18,4.57142857142857
"Papua New Guinea",NA,23.6666666666667,57,15.1428571428571
"Paraguay",13.375,3.33333333333333,8,6
"Peru",12.125,1.66666666666667,18.4285714285714,4.28571428571429
"Philippines",16.625,23.6666666666667,47.7142857142857,8
"Qatar",NA,4,1.14285714285714,2.28571428571429
"Romania",3.125,8.66666666666667,9.42857142857143,2.28571428571429
"Russian Federation",3.125,13,15.2857142857143,2.28571428571429
"Rwanda",46,7,53.7142857142857,10.8571428571429
"Saudi Arabia",8.875,17.6666666666667,11.7142857142857,2
"Senegal",14.125,30,23.5714285714286,12.8571428571429
"Serbia",7.125,13,8.57142857142857,1.71428571428571
"Sierra Leone",32,17,37.7142857142857,31.7142857142857
"Slovak Republic",4.25,8,4.71428571428571,1.71428571428571
"Somalia",NA,NA,NA,36.2857142857143
"South Africa",7.75,8.33333333333333,39.1428571428571,10.5714285714286
"South Sudan",NA,NA,NA,27.4285714285714
"Sri Lanka",11.25,50.3333333333333,24.7142857142857,2.57142857142857
"Sudan",25.125,56,54.5714285714286,18
"Suriname",10.625,18.3333333333333,13.7142857142857,5.71428571428571
"Syrian Arab Republic",NA,NA,NA,4.85714285714286
"Tajikistan",NA,18.6666666666667,25,9.71428571428571
"Tanzania",38.375,15,49.2857142857143,15.4285714285714
"Thailand",9.75,18,15,2.85714285714286
"Timor-Leste",31.125,48,69.4285714285714,13.7142857142857
"Togo",20.125,22,39.4285714285714,20.8571428571429
"Trinidad & Tobago",6.875,17.6666666666667,8.14285714285714,7.42857142857143
"Tunisia",5.375,7,11.8571428571429,3.71428571428571
"Turkey",3.125,6.33333333333333,14.1428571428571,3.42857142857143
"Turkmenistan",6.75,14,16.4285714285714,13.4285714285714
"Uganda",51.25,11.6666666666667,41.2857142857143,14
"Ukraine",4.375,4.33333333333333,8.57142857142857,2.57142857142857
"Uruguay",3.125,6.33333333333333,12.5714285714286,2.28571428571429
"Uzbekistan",7.875,16.6666666666667,18.4285714285714,6.57142857142857
"Venezuela",26.5,11.6666666666667,19,8.85714285714286
"Viet Nam",11.625,21.3333333333333,35.1428571428571,6
"Yemen",48.625,59.6666666666667,87.2857142857143,15.7142857142857
"Zambia",58.375,20.6666666666667,57.1428571428571,17.1428571428571
"Zimbabwe",64.125,11,38.7142857142857,14.2857142857143
