"","Pillar 1: Health (0–100 best)","Pillar 2: Education Access (0–100 best)","Pillar 3: Education Quality and Equity (0–100 best)","Pillar 4: Lifelong Learning (0–100 best)","Pillar 5: Technology Access (0–100 best)","Pillar 6: Work Opportunities (0–100 best)","Pillar 7: Fair Wage Distribution (0–100 best)","Pillar 8: Working Conditions (0–100 best)","Pillar 9: Social Resilience (0–100 best)","Pillar 10: Inclusive Institutions (0–100 best)"
"Albania","78.861102546705069","49.826105325","57.095041316084874","50.324155956666665","70.322756796666667","32.476430893975362","45.633427830942338","68.078641939999997","42.151390999291337","61.342866676771422"
"Argentina","61.39932384893352","69.176428080699864","38.374234234768842","46.055628986666662","70.783877558888889","64.766633956280742","47.014861477543015","56.568268813333326","59.602685100000002","59.696192150685512"
"Armenia","77.254878814745041","36.825824006666664","79.354934377790173","43.602898903333333","67.340954359722218","42.759160251656112","44.492452039727446","54.682890420833324","39.848400816666661","53.048349182663664"
"Australia","87.417843125691604","75.551249489744464","82.117210859089383","67.764808733333339","88.688767443333347","78.258283535443667","50.342969752911614","66.718025096666665","72.717460958333334","81.654252556451354"
"Austria","89.383702342151423","85.279535814195967","85.407602405366447","73.174174629166657","79.965410020833332","79.176592346570644","61.122006676486009","80.468771308333331","87.028362179166663","80.17841170442378"
"Bangladesh","45.746729638828057","32.749012405582668","29.17629971313476","37.25064167","45.519682260600632","55.319440363798634","55.900342062971461","40.105064349999999","20.923642991111109","39.57256450008903"
"Belgium","90.407020895855339","80.552362304313149","77.259645492987019","67.965408162499998","81.732950896666665","75.073140743672909","88.410878976452096","78.884685936666671","84.131999970833334","76.500957537919888"
"Brazil","62.01501493168864","54.217137129173203","42.211868545111308","37.853264808333329","67.829277119444441","55.917436495235599","35.916954989667744","60.646119983333335","59.163046724444435","45.394504789593029"
"Bulgaria","71.20016009401661","55.782744608764666","70.91053966794631","52.901186516666669","77.059453228888884","71.242038318325754","61.224909925397711","57.614530449999997","60.877203891666667","59.381662207362744"
"Cameroon","36.366069176086938","40.931575408320327","33.560881642252603","39.907661623333333","30.9165443611341","58.193628211034351","9.2047619047619058","51.66688108333333","17.564079377180899","42.173751829785367"
"Canada","87.739156750687357","78.370492742791754","82.351044649245281","69.455470641666665","84.824383533333346","74.093052426170289","62.736450706943252","64.81727570000001","72.07028370416667","84.88112201382846"
"Chile","72.202249752302251","53.799697212578131","51.987528856102877","53.056681154166668","74.564918729722223","69.125462071651683","47.616501688512081","57.298000276666663","50.078681037500004","73.167270041749077"
"China","80.475631383762234","71.993299994444442","63.303114758892924","59.701555966666668","74.998034641997336","70.12011003102063","32.003534369487468","56.184983158333331","50.259462584212919","55.74291231246584"
"Colombia","66.58553066510828","48.600923891901076","31.9958771278176","52.470785109999994","63.973941793361568","59.121913641538349","38.942966070690758","43.58753617","49.285142757555555","48.934355654777548"
"Costa Rica","69.543080264179821","69.229695440419931","61.209847863227239","53.366896508333326","74.800332300479155","62.064081836761773","40.035782029011997","53.832170143333336","64.172451362666663","67.635679517668891"
"Côte d'Ivoire","39.056839228653899","16.64399835333333","22.287799261474611","40.935830559999999","40.800973979231841","63.352496737340999","1.8518518518518519","49.132348962499997","22.839103229999999","47.843744510774293"
"Croatia","83.866606827479558","60.7394835501172","78.946723853668772","48.427592099999998","71.114650684722235","63.849513835591573","72.888284592085995","61.476246179999997","56.75468817777778","68.473858268473478"
"Cyprus","94.468579789861224","66.214633081235334","76.653229871067325","56.001993020833339","77.455011268611102","68.537212354280101","56.040429500179677","60.456966524999999","69.321495122222217","69.337011872341321"
"Czech Republic","84.3458696978619","82.153268813706063","73.501185590570103","65.515584969999992","79.747124163333339","76.616575717264581","74.311960734566384","65.19259649","71.27127357916666","73.933164058711512"
"Denmark","90.244613928690015","85.024864517529295","86.081736940064573","75.119705995833328","94.119539895555548","82.084563276102642","80.731620755106619","82.661284520000009","89.811252512500005","85.84202012400192"
"Ecuador","63.98741628490572","60.714153211627604","43.825228708379839","52.590329953333331","61.505742873333332","71.226888535248904","35.325994913478127","56.774670675000003","38.386691952048274","54.2814938542164"
"Egypt","55.330535510725625","39.358132900227865","39.850551413922986","38.419073000000004","56.880265654111106","44.498801089748014","45.315097662552041","44.388205096666667","45.20628026330197","39.03213477780217"
"El Salvador","58.839696192421727","37.182417896138503","33.010522234090168","40.794573163333332","52.897882433666666","69.498618074216282","48.680607216110388","43.753605950000001","38.633483665","50.842682993773181"
"Estonia","85.763652153107387","75.230343182108555","76.520030687529029","66.104547233333335","89.770891032777783","77.442736257937966","53.875859753499661","66.426544196666669","69.358505483333332","74.706767566237517"
"Finland","90.166463049297278","82.201723051490887","83.781633732567045","77.980365354166679","88.821001962777771","70.484857455737256","85.101519205484038","81.874382556666674","87.887346425000004","87.613479735144708"
"France","91.290926374007853","78.5074206901172","72.611224387490481","64.353092512500012","84.321607909166659","68.431023268160416","74.901637043960903","76.55148123666666","82.179979958333334","73.674255948111082"
"Georgia","67.6294894250521","57.74433261370033","80.106035585317585","37.362806286666668","65.918093914444441","50.439002388755988","46.535109696870634","56.900584112499999","33.436623937641521","60.133525420848812"
"Germany","88.282317820056377","85.372564870527142","75.79751157844656","69.636134304166674","84.639877901111106","83.965658437108672","59.67655468771742","75.388863003333341","85.428898904166658","79.534920654485603"
"Ghana","52.955989439272955","39.977734941666668","32.119506848144525","51.24835271333334","51.624252117686723","69.125280445341033","20.333010486427511","50.013852796666662","29.388676978647684","58.029107171021565"
"Greece","86.155365041843268","60.236132172843412","74.590860779043851","42.413509936666664","76.547553783611122","36.620308944419051","60.572207128493005","43.013857189999996","57.521466361111116","60.654995816583586"
"Guatemala","55.198138733583498","29.862518021145796","53.820629422549288","47.124763430000002","51.014822643851289","70.999485554042721","25.422650414169823","37.703702183333334","22.632200938888889","41.42319426831736"
"Honduras","53.505959384454904","27.105570206936864","43.990855915178564","46.240418006666673","43.271521202099869","62.485438039538487","30.203869498715868","51.501294941666664","27.742756791666665","49.287313634399233"
"Hungary","77.359901100952911","67.212078268509146","72.627879466019309","42.561253119999996","73.812210776388895","79.616335813749899","66.345726637012774","58.437563373333333","55.508462862499997","64.670735105716858"
"Iceland","91.139453813803911","83.996474182867445","85.914034784805452","75.716572999999997","93.582904284444453","88.078224616524537","72.562135193505796","79.404692143333335","70.926064883333325","85.61031992620984"
"India","54.555870060796877","41.089757745833332","31.308472900274364","52.632306489999998","51.985896262282324","46.86413013499493","17.777777777777779","55.879062966666659","25.999814342222219","49.08235645762305"
"Indonesia","56.231882110775516","51.250615416738263","54.512334089929126","48.05657089666667","62.49193783630556","66.526367937397836","26.333181967703315","49.273182196666667","28.417803228786802","50.151517082438538"
"Ireland","89.902565736793264","78.383519636783873","78.829641809370813","64.893792070833342","82.340772529999995","74.87828015332839","53.81755884902698","68.628193503333335","76.359111654166668","82.195265128100573"
"Israel","86.096673892394264","65.746444415588414","74.310086662381934","61.325639369999998","83.024192008888889","79.711096532218022","56.121256745178982","63.204754510000001","55.369299424999994","56.28760037435233"
"Italy","90.052283943062321","68.00568132396161","79.088557070972726","40.222897873333338","77.236281183333332","61.209736516043186","65.180304734772193","70.891913176666662","58.256168894444443","64.208362832120613"
"Japan","94.185324463915777","81.751504898149619","72.962035408941674","66.361552475000011","86.982289270555555","82.666633131409284","51.964950995272048","60.938894630000007","81.286763979166665","81.898863719167394"
"Kazakhstan","71.443758414931636","69.935551471666685","74.652125430463983","51.080680893333337","69.694584114722218","74.870289592905209","61.208740870434312","69.097976793333331","56.474155728422637","49.661004233811553"
"Korea, Rep.","91.141264526338077","75.518296324999994","75.989978678197105","68.054813150000001","92.432977945000005","78.555320033293981","41.675065984557136","61.338665503333324","55.428832858333337","73.774176721219149"
"Lao PDR","54.432454619484488","31.035365041666665","52.018819291178389","43.734612786666659","45.129562611014336","58.021016646601971","18.661905346103719","60.957989083333331","23.114450124999998","50.989285314447159"
"Latvia","79.684781152532864","74.452743544941399","83.373798711202426","55.485692710000002","84.865645092777768","67.869573424448802","51.083463657401182","63.061042239999992","63.009481466666664","66.832455382648931"
"Lithuania","80.682217879420946","79.276569558764649","83.187127481338933","62.208466086666668","83.549089788888878","67.431440369495249","48.749314006262026","63.92241459666667","62.926205795833333","72.607648686518885"
"Luxembourg","90.55223290414871","78.304480783493048","82.185864527297099","76.50587757083332","86.904190274722225","80.081131064590153","64.815105198753002","71.062652891666659","78.281718655555565","89.216476088391687"
"Malaysia","72.577357036215048","71.852695509744464","70.065982245391027","61.789776419999995","77.509869228555559","76.090594827451852","32.57067537312669","54.63082248333334","41.710608000000001","60.762697895831764"
"Malta","91.544217003155339","77.121914212715652","75.169930231712016","63.538990420833343","88.522298131666673","79.725698688105311","74.061623742993632","62.780692804166662","62.22618340555556","75.679344229419684"
"Mexico","61.283575269386276","61.771560423551399","39.127608848691295","44.602182508333328","65.633390389722209","74.427243814649373","37.090077909981872","46.78855711333334","48.227122002222217","47.33234943103718"
"Moldova","74.056164067341342","38.202535034770996","63.872673705206942","46.522835863333334","71.16263516694444","76.52603060908514","66.642742684777261","58.977407454166666","53.560817631296302","46.634899044260422"
"Morocco","72.111125145287318","46.519159250000001","40.038426661906342","39.774494660000002","59.069970582555555","29.715683033815829","23.755590469024614","46.88117381666666","32.875663604878049","46.712799886847293"
"Netherlands","91.913788594755488","88.055982911107591","76.998240025377626","77.78124412083335","89.010614978333322","81.899582845323479","68.949701382887881","81.604823836666668","82.466787454166663","84.94314356027769"
"New Zealand","81.720520595815131","78.328849465804083","81.936955841218335","67.010031141666673","89.404869875555548","76.495107017974192","49.470979980494604","61.556341456666665","67.789734770833334","89.51363348949387"
"Norway","90.946388690626875","86.548103230244948","85.492199293306157","73.579508066666662","89.783403830833322","84.458397885986457","76.748145118711648","79.477571223333328","81.537841112500004","87.428847103745113"
"Pakistan","48.26377839176314","27.421996983333333","15.726698189726328","49.140075236666668","36.276679369033332","56.70095898298721","26.022388470877207","49.802547437499996","23.979646671428721","33.537360944954571"
"Panama","60.807315942754315","48.55162279711913","44.781597195389587","44.768249987499999","64.324288740833325","73.997525428628464","24.932735686995557","49.720807853333341","45.324177240953617","56.691602159581961"
"Paraguay","63.172963467279615","33.476820608072934","38.567966341145834","38.996658680000003","58.525924864413724","71.186350282114645","37.751253398046053","41.225713369999994","31.948394175000001","52.697570180904286"
"Peru","67.950087493951273","60.830070211744804","37.786180313036425","46.93443671","54.609972103099892","69.541899093174166","37.8668723450565","43.554617433333341","29.228510618666668","50.399192493898596"
"Philippines","56.274720037640556","54.757230694787587","38.300333243256055","63.882068263333352","62.554903927104924","67.522929068129471","35.949197433933385","52.825874893333342","35.221161687706861","49.558906644222084"
"Poland","82.460038532280478","66.205115995058591","81.756590943372103","49.365304686666676","78.631203758888887","75.150940382573552","60.009794190604666","57.683397540000001","69.184396212500005","70.17777522855198"
"Portugal","86.590943213083051","69.014786672960611","76.852581427349222","59.654132525000001","79.211063842777776","73.769144666830627","50.170112650854193","70.285586276666677","73.738708558333343","80.54096776169817"
"Romania","73.185401225374505","54.215673624824205","64.010730084509575","51.522996286666668","73.584824211666657","75.076068970477493","68.470756703872866","60.53681971666667","58.404330779166671","52.212966793944275"
"Russian Federation","75.036688509821701","70.372067865058597","75.046527364187298","46.090814256666668","73.635741076944441","74.020245561902556","63.023264561416006","62.264153063333346","64.334219664191451","42.953699123460424"
"Saudi Arabia","73.445788120372555","53.445425892353533","64.159983198420349","67.505242429166671","75.718173858111115","66.229198509004192","29.627539724393277","45.862343287500003","43.935052300000002","50.738885797508836"
"Senegal","45.657479740432294","18.937338596666667","28.196488798479344","38.418581619999998","43.463905123711619","47.886988705564306","9.2826674311865016","39.227287860000004","28.193583308333334","60.553050023085717"
"Serbia","78.00212002259876","63.485398288736995","74.154536801083154","48.28332765333333","68.136699557222215","56.447193596827134","61.366116182153363","62.159632773333328","66.511150724999993","59.199601696104139"
"Singapore","91.46873032557076","83.735906773761997","85.796203465902906","78.190408145833345","87.395947667222231","81.764751057900554","45.066778604996045","66.738136116666666","38.613349060942625","87.450244145021202"
"Slovak Republic","79.268347309581259","69.24315764641112","65.427648491283534","56.493681206666665","77.67419481277777","64.043083063186103","77.776789133170269","64.61720742","62.950620483333338","67.144265687606492"
"Slovenia","88.354675348712107","76.997739476293944","77.271848946864694","62.339456306666683","78.272014936388885","77.662024278487948","78.936366679100345","67.757885737500004","79.412079820833327","76.617974800615229"
"South Africa","48.068045779418107","26.521306499999998","22.906326752929687","43.077866233333339","55.986194792137688","34.679858837601365","25.953853397726157","52.51828513666667","43.727897584913137","60.796852263395138"
"Spain","89.748772582049668","72.263705446411137","74.356470466705176","56.57654901250001","82.645660219166658","50.359357023256059","59.896159374331162","71.097493270000001","73.582699154166676","69.906251280581813"
"Sri Lanka","72.774121924427078","55.200197011682164","66.149408333333341","49.149171508333339","53.472822011255431","64.804858856746421","32.72132952056004","44.077269386666671","35.402223026842584","49.084836117273007"
"Sweden","92.103538427920853","84.591085250372728","87.378224506338555","78.25820263","92.221676718888887","74.700662724671815","74.002234724579097","83.612530546666676","82.334846416666664","86.07652873444745"
"Switzerland","94.222102277776798","83.547932760955803","77.374626794380333","81.100986399999996","90.43031168277777","81.277985457073058","69.74509710867838","77.224625246666662","77.600478179166672","88.203704783344534"
"Thailand","66.75165903210268","58.565757423279607","44.419969535738971","47.683089383333325","71.622283934999999","79.668779018797053","51.952787219607067","52.326939833333334","32.451033861362902","48.112825954437639"
"Tunisia","76.963784071130632","61.228092755555558","49.136769163004558","42.251669443333334","64.342550489055554","37.268097652949244","42.002435812407469","52.307416137500006","40.227112533333326","51.029827182623748"
"Turkey","73.439636939338087","39.551863945058599","66.402363597132123","46.531482236666662","68.045470923888885","50.06661489311648","47.897422089196212","40.055717996666665","36.496426516666666","44.128208858182369"
"Ukraine","73.304593308958246","58.357231329606101","65.542012891971012","47.218796913333328","61.608242827777779","71.949299407136579","63.770994676942372","59.467070146666664","69.583360746435645","40.731739981365571"
"United Kingdom","85.838113969238407","82.502886583823255","69.070311372540999","66.206785045833328","88.623934722499996","81.754137318596406","53.063117243075659","62.852530060000007","79.395120608333329","74.266285238942061"
"United States","75.75409429067733","66.809565221380211","76.77223502897013","73.294556137499995","90.210132874444454","82.986593632090774","43.786466319131783","59.050668880000003","61.69401962500001","73.710353146790396"
"Uruguay","64.740575136158554","71.186671935722671","59.417799682163903","57.895992800000002","82.519106282222211","73.071696180732886","41.880484335967608","67.461470033333342","77.949184434138544","74.547989237778822"
"Viet Nam","66.546525115623552","67.138891507664397","76.077480894252233","42.168982749999998","68.007102266388884","75.887554240181743","36.351379411610012","53.26267787916666","36.814507201390214","55.656167437954032"
